GAME_ID,TEAM_ID,DIST,HOMEAWAY,TEAM_HOME,OPPONENT,WL,PTS,MIN,MATCHUP,ALTITUDE_HOME,ALTITUDE_AWAY,HIGHALT,ALTDIF,DISTperMIN
0022200997,1610612752,18.65,AWAY,NYK,SAC,L,117,240,NYK @ SAC,26,25,False,1,0.07770833333333332
0022200998,1610612757,17.04,AWAY,POR,PHI,L,119,239,POR @ PHI,50,39,False,11,0.07129707112970711
0022200999,1610612737,17.47,AWAY,ATL,WAS,W,114,241,ATL @ WAS,738,82,False,656,0.0724896265560166
0022201000,1610612739,17.3,AWAY,CLE,MIA,L,115,241,CLE @ MIA,580,6,False,574,0.07178423236514524
0022201001,1610612751,19.45,AWAY,BKN,MIN,W,124,264,BKN @ MIN,26,830,False,-804,0.07367424242424242
0022201002,1610612743,17.89,AWAY,DEN,SAS,L,120,240,DEN @ SAS,5280,650,False,4630,0.07454166666666667
0022201003,1610612761,17.58,AWAY,TOR,LAL,L,112,240,TOR @ LAL,251,233,False,18,0.07325
0022201004,1610612752,17.08,AWAY,NYK,LAC,L,95,239,NYK @ LAC,26,233,False,-207,0.0714644351464435
0022201005,1610612762,18.11,AWAY,UTA,CHA,W,119,240,UTA @ CHA,4226,751,False,3475,0.07545833333333334
0022201006,1610612754,18.58,AWAY,IND,DET,W,121,240,IND @ DET,717,595,False,122,0.07741666666666666
0022201007,1610612748,19.05,AWAY,MIA,ORL,L,114,265,MIA @ ORL,6,82,False,-76,0.0718867924528302
0022201008,1610612738,17.09,AWAY,BOS,ATL,W,134,239,BOS @ ATL,20,738,False,-718,0.07150627615062762
0022201009,1610612741,14.6,AWAY,CHI,HOU,W,119,241,CHI @ HOU,594,43,False,551,0.06058091286307054
0022201010,1610612742,17.75,AWAY,DAL,MEM,L,108,240,DAL @ MEM,430,337,False,93,0.07395833333333333
0022201011,1610612760,18.1,AWAY,OKC,NOP,W,110,240,OKC @ NOP,1201,0,False,1201,0.07541666666666667
0022201012,1610612749,19.67,AWAY,MIL,GSW,L,116,265,MIL @ GSW,617,13,False,604,0.07422641509433962
0022201013,1610612758,18.9,AWAY,SAC,PHX,W,128,241,SAC @ PHX,25,1086,False,-1061,0.07842323651452282
0022201014,1610612751,17.2,AWAY,BKN,DEN,W,122,239,BKN @ DEN,26,5280,True,-5254,0.07196652719665271
0022201015,1610612739,17.83,AWAY,CLE,CHA,W,114,240,CLE @ CHA,580,751,False,-171,0.07429166666666666
0022201016,1610612764,17.55,AWAY,WAS,PHI,L,93,239,WAS @ PHI,82,39,False,43,0.07343096234309623
0022201017,1610612757,18.0,AWAY,POR,NOP,L,110,240,POR @ NOP,50,0,False,50,0.075
0022201018,1610612760,18.75,AWAY,OKC,SAS,W,102,241,OKC @ SAS,1201,650,False,551,0.07780082987551867
0022201019,1610612752,17.56,AWAY,NYK,LAL,W,112,240,NYK @ LAL,26,233,False,-207,0.07316666666666666
0022201020,1610612754,18.2,AWAY,IND,DET,L,97,239,IND @ DET,717,595,False,122,0.07615062761506276
0022201021,1610612750,18.46,AWAY,MIN,ATL,W,136,241,MIN @ ATL,830,738,False,92,0.07659751037344399
0022201022,1610612762,18.04,AWAY,UTA,MIA,L,115,240,UTA @ MIA,4226,6,False,4220,0.07516666666666666
0022201023,1610612763,17.86,AWAY,MEM,DAL,W,104,242,MEM @ DAL,337,430,False,-93,0.07380165289256198
0022201024,1610612738,16.57,AWAY,BOS,HOU,L,109,240,BOS @ HOU,20,43,False,-23,0.06904166666666667
